20:00:05 1374.0 ppm (-18), brightness: 0.148, window is closed -> open window
20:30:07 1347.0 ppm (-16), brightness: 0.148, window is open -> close window
23:09:46 2002.0 ppm (+69), brightness: 0.148, window is closed -> open window
23:23:17 1346.0 ppm (-10), brightness: 0.148, window is open -> close window
05:00:05 1744.0 ppm (-25), brightness: 0.148, window is closed -> open window
06:00:08 1422.0 ppm (+9), brightness: 0.148, window is open -> close window
19:59:54 1401.0 ppm (-8), brightness: 0.148, window is closed -> open window
20:29:56 1417.0 ppm (-9), brightness: 0.148, window is open -> close window
00:44:40 2009.0 ppm (+60), brightness: 0.148, window is closed -> open window
00:58:11 1343.0 ppm (-22), brightness: 0.148, window is open -> close window
05:00:24 1839.0 ppm (+54), brightness: 0.148, window is closed -> open window
05:59:57 1942.0 ppm (-5), brightness: 0.148, window is open -> close window
20:00:13 1232.0 ppm (-25), brightness: 0.148, window is closed -> open window
20:00:13 1232.0 ppm (-25), brightness: 0.148, window is closed -> close window
20:01:13 1231.0 ppm (-12), brightness: 0.148, window is closed -> open window
20:01:13 1231.0 ppm (-12), brightness: 0.148, window is closed -> close window
00:06:26 2000.0 ppm (+30), brightness: 0.148, window is closed -> open window
02:59:05 1347.0 ppm (-10), brightness: 0.148, window is open -> close window
20:00:01 1467.0 ppm (-8), brightness: 0.148, window is closed -> open window
20:29:33 1369.0 ppm (-13), brightness: 0.148, window is open -> close window
01:21:18 2037.0 ppm (+46), brightness: 0.148, window is closed -> open window
02:10:51 1348.0 ppm (-31), brightness: 0.148, window is open -> close window
05:00:00 1952.0 ppm (+10), brightness: 0.148, window is closed -> open window
06:00:03 1385.0 ppm (+5), brightness: 0.148, window is open -> close window
19:59:49 1378.0 ppm (-11), brightness: 0.148, window is closed -> open window
20:16:50 1337.0 ppm (-37), brightness: 0.148, window is open -> close window
15:33:54 2014.0 ppm (+38), brightness: 0.148, window is closed -> open window
16:32:27 1335.0 ppm (-45), brightness: 0.919, window is open -> close window
19:37:37 2005.0 ppm (+50), brightness: 0.148, window is closed -> open window
19:59:08 1343.0 ppm (-10), brightness: 0.148, window is open -> close window
20:00:08 1319.0 ppm (-40), brightness: 0.148, window is closed -> open window
20:00:08 1319.0 ppm (-40), brightness: 0.148, window is closed -> close window
20:01:08 1335.0 ppm (-8), brightness: 0.148, window is closed -> open window
20:01:08 1335.0 ppm (-8), brightness: 0.148, window is closed -> close window
20:02:38 1319.0 ppm (+0), brightness: 0.148, window is closed -> open window
20:02:38 1319.0 ppm (+0), brightness: 0.148, window is closed -> close window
22:57:18 2022.0 ppm (+36), brightness: 0.528, window is closed -> open window
23:47:21 1349.0 ppm (-33), brightness: 0.148, window is open -> close window
03:58:34 2019.0 ppm (+28), brightness: 0.148, window is closed -> open window
04:10:35 1349.0 ppm (-54), brightness: 0.148, window is open -> close window
04:59:38 1712.0 ppm (-74), brightness: 0.148, window is closed -> open window
05:09:08 1341.0 ppm (-41), brightness: 0.148, window is open -> close window
05:26:09 1725.0 ppm (+127), brightness: 0.148, window is closed -> open window
05:37:10 1350.0 ppm (-12), brightness: 0.148, window is open -> close window
19:59:57 1318.0 ppm (+18), brightness: 0.148, window is closed -> open window
19:59:57 1318.0 ppm (+18), brightness: 0.148, window is closed -> close window
20:01:27 1310.0 ppm (+14), brightness: 0.148, window is closed -> open window
20:01:27 1310.0 ppm (+14), brightness: 0.148, window is closed -> close window
20:02:27 1306.0 ppm (-12), brightness: 0.148, window is closed -> open window
20:02:27 1306.0 ppm (-12), brightness: 0.148, window is closed -> close window
23:47:09 2004.0 ppm (+83), brightness: 0.148, window is closed -> open window
00:03:40 1341.0 ppm (-26), brightness: 0.148, window is open -> close window
